v8-version,6,8,275,32,-node.45,0
code-creation,Builtin,3,11438,0x8f9d5b93f20,283,OrdinaryToPrimitive_String
code-creation,Builtin,3,11526,0x8f9d5b94080,229,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,11617,0x8f9d5b941c0,229,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,11705,0x8f9d5b94300,229,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,11772,0x8f9d5b94440,95,StringToNumber
code-creation,Builtin,3,11853,0x8f9d5b944e0,103,ToName
code-creation,Builtin,3,11941,0x8f9d5b945a0,317,NonNumberToNumber
code-creation,Builtin,3,12033,0x8f9d5b94720,325,NonNumberToNumeric
code-creation,Builtin,3,12124,0x8f9d5b948c0,269,ToNumber
code-creation,Builtin,3,12210,0x8f9d5b94a20,357,ToNumeric
code-creation,Builtin,3,12300,0x8f9d5b94be0,219,NumberToString
code-creation,Builtin,3,12388,0x8f9d5b94d00,303,ToString
code-creation,Builtin,3,12477,0x8f9d5b94e80,482,ToInteger
code-creation,Builtin,3,12566,0x8f9d5b950c0,498,ToInteger_TruncateMinusZero
code-creation,Builtin,3,12655,0x8f9d5b95300,538,ToLength
code-creation,Builtin,3,12744,0x8f9d5b95560,156,Typeof
code-creation,Builtin,3,12825,0x8f9d5b95640,75,GetSuperConstructor
code-creation,Builtin,3,12924,0x8f9d5b956e0,163,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,13024,0x8f9d5b957e0,9980,KeyedLoadIC_Megamorphic
code-creation,Builtin,3,13114,0x8f9d5b97f20,2559,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,13202,0x8f9d5b98960,40,KeyedLoadIC_Slow
code-creation,Builtin,3,13299,0x8f9d5b989e0,15756,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,13393,0x8f9d5b9c7c0,44,KeyedStoreIC_Slow
code-creation,Builtin,3,13482,0x8f9d5b9c840,40,LoadGlobalIC_Slow
code-creation,Builtin,3,13570,0x8f9d5b9c8c0,92,LoadIC_FunctionPrototype
