v8-version,6,8,275,32,-node.45,0
code-creation,Builtin,3,13106,0x1f9c5c6945a0,317,NonNumberToNumber
code-creation,Builtin,3,13199,0x1f9c5c694720,325,NonNumberToNumeric
code-creation,Builtin,3,13292,0x1f9c5c6948c0,269,ToNumber
code-creation,Builtin,3,13382,0x1f9c5c694a20,357,ToNumeric
code-creation,Builtin,3,13479,0x1f9c5c694be0,219,NumberToString
code-creation,Builtin,3,13595,0x1f9c5c694d00,303,ToString
code-creation,Builtin,3,13731,0x1f9c5c694e80,482,ToInteger
code-creation,Builtin,3,13884,0x1f9c5c6950c0,498,ToInteger_TruncateMinusZero
code-creation,Builtin,3,14020,0x1f9c5c695300,538,ToLength
code-creation,Builtin,3,14113,0x1f9c5c695560,156,Typeof
code-creation,Builtin,3,14206,0x1f9c5c695640,75,GetSuperConstructor
code-creation,Builtin,3,14300,0x1f9c5c6956e0,163,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,14401,0x1f9c5c6957e0,9980,KeyedLoadIC_Megamorphic
code-creation,Builtin,3,14493,0x1f9c5c697f20,2559,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,14593,0x1f9c5c698960,40,KeyedLoadIC_Slow
code-creation,Builtin,3,14693,0x1f9c5c6989e0,15756,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,14823,0x1f9c5c69c7c0,44,KeyedStoreIC_Slow
code-creation,Builtin,3,14915,0x1f9c5c69c840,40,LoadGlobalIC_Slow
code-creation,Builtin,3,15006,0x1f9c5c69c8c0,92,LoadIC_FunctionPrototype
code-creation,Builtin,3,15104,0x1f9c5c69c960,40,LoadIC_Slow
code-creation,Builtin,3,15196,0x1f9c5c69c9e0,16,LoadIC_StringLength
code-creation,Builtin,3,15338,0x1f9c5c69ca40,20,LoadIC_StringWrapperLength
code-creation,Builtin,3,15429,0x1f9c5c69caa0,3040,LoadIC_Uninitialized
code-creation,Builtin,3,15538,0x1f9c5c69d6c0,44,StoreGlobalIC_Slow
code-creation,Builtin,3,15658,0x1f9c5c69d740,6672,StoreIC_Uninitialized
code-creation,Builtin,3,15754,0x1f9c5c69f1a0,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,15901,0x1f9c5c69f220,1076,EnqueueMicrotask
code-creation,Builtin,3,15996,0x1f9c5c69f6a0,1432,RunMicrotasks
code-creation,Builtin,3,16103,0x1f9c5c69fc80,2388,HasProperty
code-creation,Builtin,3,16196,0x1f9c5c6a0620,1036,DeleteProperty
code-creation,Builtin,3,16290,0x1f9c5c6a0a80,25,Abort
code-creation,Builtin,3,16384,0x1f9c5c6a0ae0,40,AbortJS
code-creation,Builtin,3,16477,0x1f9c5c6a0b60,15,EmptyFunction
code-creation,Builtin,3,16577,0x1f9c5c6a0bc0,15,Illegal
code-creation,Builtin,3,16684,0x1f9c5c6a0c20,15,StrictPoisonPillThrower
code-creation,Builtin,3,16780,0x1f9c5c6a0c80,15,UnsupportedThrower
code-creation,Builtin,3,16873,0x1f9c5c6a0ce0,21,ArrayConstructor
code-creation,Builtin,3,16971,0x1f9c5c6a0d40,9,InternalArrayConstructor
code-creation,Builtin,3,17063,0x1f9c5c6a0da0,15,ArrayConcat
